delta_EQCONSUB,delta_NETIMIN,delta_EXTRA,delta_TRADE,delta_TRADEL,delta_OALIFSEP,delta_IGLTRAD,delta_SUBND,delta_EQPP,delta_FREPP,delta_IFIDUC,delta_FREPO,delta_OBSDIR,delta_LNLSNTV,delta_NCGTYPAR,delta_EINTEXP,delta_EQCSTKRX,delta_OALIFHYB,delta_CHBAL,delta_IGLSEC,delta_INTAN,delta_LNEXAMT,delta_EQCS,delta_EPREMAGG,delta_LNLSDEPR,delta_OALIFINS,delta_NONIIAY,delta_INTINCY,delta_BKPREM,delta_NONIX,delta_NIMY,delta_CHBALI,delta_VOLIAB,delta_LNRESNCR,delta_ELNATR,delta_NCLNLS,delta_NONII,delta_ISERCHG,delta_ITAX,delta_RBCT2,delta_ELNATRY,delta_ASTEMPM,delta_ASSTLT,delta_NUMEMP,delta_NCLNLSR,delta_ORE,delta_ASSET5,FAIL?
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35869565217391297,0.0,1.0887082204155374,0.0,0.6320907617504052,0.0,0.0,1.2845786963434025,0.0,0.16,0.19921875,0.9992025518341308,0.6810865191146881,1.073238973008558,0.0,1.0,0.9780092592592592,0.7374100719424459,0.7406993006993007,0.9039215686274512,0.0,0.8970189701897019,0.5844878147436545,0.096051227321238,1.70467596390484,0.5845824411134903,0.656957928802589,0.0,0.9384057971014492,0.16564417177914112,1.1148275240616292,0.9178343949044586,0.8059701492537313,1.7397260273972603,0.5481481481481482,0.8798762688973114,1.0
0.0,0.0,0.0,0.0,0.0,1.0408376963350785,0.0,0.0,0.0,1.7868713994888898,1.1554487179487178,0.0,0.0,0.8207292976468474,0.0,0.2071069633883704,0.0,1.1000098338086342,2.498013839056894,-0.1956521739130435,1.0676302640970736,1.1013371858621153,1.0,1.735926305015353,0.7988904299583912,1.1390187927600242,1.4915254237288136,0.6850574712643679,1.18670608848007,1.1862181330266437,0.7727272727272727,2.6415331285775427,1.6858665475316719,1.6986575481256332,0.0,0.8619289340101522,1.9290434782608696,0.8657718120805369,1.1745061147695202,0.0,0.0,1.2068618822729484,1.4301282006788318,1.08868501529052,0.7857142857142858,2.7313432835820897,1.2945847862066957,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4159522922102125,0.0,1.1155306156131377,0.0,3.6028880866426003,0.0,0.0,0.9987325728770596,0.0,0.0,0.5860566448801743,1.0,3.4878048780487805,1.094496855345912,0.0,1.0,1.0240384615384617,0.9246575342465754,2.935736677115988,0.9640883977900552,0.0,0.6636696636696636,0.0,0.0,0.0,3.4117647058823533,3.625,0.0,0.6844660194174758,0.0,1.4655809998417957,1.0733212341197822,0.4705882352941176,0.0,0.0,0.848417490289582,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9114010989010988,0.0,1.7340425531914894,0.0,0.0,2.4994639666468137,0.0,0.0,8.103535353535353,1.0,1.5465838509316767,0.8364716106604866,1.0515901060070671,0.6103896103896104,0.8131212723658051,1.5311338289962826,1.4727000747943155,0.8111587982832618,2.5502923976608187,2.686163247490179,4.869931695974422,0.0,0.26424870466321243,1.2165898617511521,0.7717391304347826,0.0,1.4605394605394606,0.0,1.3688581664235395,5.461943898517061,1.435897435897436,0.15151515151515152,0.4643171806167401,1.990984329481777,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0166666666666666,0.0,0.8774057900695456,0.0,0.5257731958762887,0.0,0.0,0.5308285163776493,0.0,0.0,0.0,1.0,0.3043478260869565,0.8396605627512281,0.0,17.900000000000006,1.1616038882138515,1.35,0.5530085959885387,1.2857142857142858,0.3641975308641976,1.0837173579109065,2.3853923853923846,2.4285714285714284,0.4191176470588235,8.73076923076923,0.45,0.0,1.2352941176470589,4.979381443298967,1.127889634601044,3.4115942028985518,1.0,0.4231257941550191,0.0,0.9807759254245152,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1113737486095665,0.0,0.4440559440559441,0.0,0.0,1.0144173602853743,0.0,0.0,0.8456957227937195,1.0,1.2,1.0909720618794736,0.0,1.5121951219512195,0.8556910569105691,0.9626245847176079,1.3444444444444446,1.0053333333333334,1.0456898900899263,0.8885653785071467,1.3250238387140716,0.0,0.8777869529314616,1.7830188679245282,0.7288135593220338,0.0,1.1136107986501689,0.0,0.8887468988437942,0.6589300411522634,1.3103448275862069,0.6794871794871795,0.0,1.158001376252007,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2489763218800072,0.0,0.0,0.0,1.0560747663551404,0.0,0.6990122717749176,0.0,0.0,1.3841855561412757,0.014237124883363934,0.7967658597263421,0.0,1.0,1.3824869127744919,0.8679971988795518,0.0,0.6961832061068702,1.180089485458613,0.9713211713369434,1.2177268527907343,-3.2764227642276427,1.4328111840997138,0.8536346722822102,1.7766002543450614,0.3123781189059453,0.35120123134578063,0.40494084449895335,0.0,0.6190622598001537,0.0,0.5362318840579711,1.2583369059573062,0.0,0.661787767903816,0.4006163328197225,0.6193578408562121,0.8727258119328597,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2725958062183658,0.877225372543848,0.0,0.5363825363825364,0.0,0.0,1.0678471099004,0.0,0.9961725817675712,0.7302798982188295,1.0,0.943661971830986,0.8323863636363635,0.0,1.0450450450450448,0.7982646420824295,0.9226030034655373,1.002028397565923,0.9140401146131804,0.9291653510156824,0.6196893396694801,10.288297114356963,1.0,0.1556350626118068,1.2846003898635479,0.5245901639344263,1.6956521739130437,1.0770491803278688,0.7142857142857143,1.3771907419584493,1.9567227459293672,0.902439024390244,0.14285714285714288,0.0,1.2300102010917338,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.106837606837607,0.0,1.0650574035914042,0.0,1.0177353342428377,0.0,0.0,1.1837549933422105,0.0,0.7541954590325765,0.0,1.0,0.7321428571428571,0.9931580842635938,0.0,0.625,1.4081632653061225,1.204983922829582,1.093214019388516,1.394607843137255,0.4666666666666667,1.205860697982624,0.33403019744483164,0.12626262626262627,2.776627218934911,0.453125,0.3829787234042553,0.0,1.255813953488372,0.18,1.7340463458110518,1.23469147432878,0.625,2.4157303370786516,1.193916349809886,1.079722556042355,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.479059093516925,0.0,1.1891152325934935,0.0,0.4302325581395349,0.0,0.0,0.6731279251170047,0.0,0.0,1.0217391304347827,1.0,0.9634146341463414,1.1714362850971922,0.0,0.7692307692307693,0.8798955613577024,0.9916603487490524,0.9367088607594936,0.9283667621776504,0.4268560361523563,1.7175452399685287,0.0,1.1666666666666667,0.0,0.920863309352518,1.108108108108108,-8.0,0.0,1.0,1.2076518384845278,2.103436543041851,1.0,0.0,0.0,1.1801532328217819,0.0
