delta_EQCONSUB,delta_NETIMIN,delta_EXTRA,delta_TRADE,delta_TRADEL,delta_OALIFSEP,delta_IGLTRAD,delta_SUBND,delta_EQPP,delta_FREPP,delta_IFIDUC,delta_FREPO,delta_OBSDIR,delta_LNLSNTV,delta_NCGTYPAR,delta_EINTEXP,delta_EQCSTKRX,delta_OALIFHYB,delta_CHBAL,delta_IGLSEC,FAIL?
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.305,0.0,0.8218072289156626,0.0,0.4428726877040261,0.0,0.0,0.887281795511222,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3065595716198126,3.2489795918367346,0.0,0.7754512635379062,0.0,0.7078651685393258,0.0,0.0,2.5743085880640466,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26,0.0,1.220863766275008,0.8106393362615909,0.4665492957746479,0.0,0.0,0.4755244755244755,0.8169014084507042,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7653748946925021,0.0,1.2362204724409451,0.0,0.0,4.0791183294663576,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0804106073567152,0.0,0.9023677287342884,0.0,0.6639344262295082,0.0,0.0,1.148148148148148,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004957448566471123,0.0,0.7333986767949031,0.0,1.3765281173594133,0.0,0.0,12.156520011917767,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152776052664263,0.0,1.1388888888888888,0.0,0.0,1.0653061224489797,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7395159357776181,0.0,0.7,0.0,0.0,6.4191053828658085,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014117767852559162,0.0,0.9205845856886804,0.0,1.1241744873131734,0.0,0.0,4.774936538748693,-0.5818285398612022,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7974193548387096,0.0,0.7633730834752981,0.0,0.696969696969697,0.0,0.0,3.3357331242426405,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.7746841104774683,0.0,3.180376610505451,0.0,0.0,0.5489024936538749,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9119260756569448,0.0,1.2474747474747474,0.0,0.0,0.646222292841821,0.0,0.0
